filme|dia|mes|ano|preco
Okja|01|01|2018|R$ 6,00|
Me Chame Pelo Seu Nome|02|01|2018|R$ 6,00
Blade Runner 2049|04|01|2018|R$ 9,00
Lady Bird: É Hora de Voar|07|01|2018|R$ 6,00
Assassinato no Expresso do Oriente|09|01|2018|R$ 6,00
Roda Gigante|09|01|2018|R$ 6,00
Dunkirk|10|01|2018|R$ 9,00
A Cura|10|01|2018|R$ 6,00
The Mercy|10|01|2018|R$ 6,00
Hostiles|11|01|2018|R$ 6,00
A Forma da Água|11|01|2018|R$ 6,00
Planeta dos Macacos: A Guerra|13|01|2018|R$ 9,00
John Wick: Um Novo Dia Para Matar|16|01|2018|R$ 6,00
Kong: A Ilha da Caveira|17|01|2018|R$ 9,00
Guardiões da Galáxia Vol. 2|20|01|2018|R$ 9,00
Thor: Ragnarok|20|01|2018|R$ 9,00
Z: A Cidade Perdida|22|01|2018|R$ 6,00
Alien: Covenant|22|01|2018|R$ 9,00
A Bela e a Fera|24|01|2018|R$ 6,00
Mulher-Maravilha|24|01|2018|R$ 9,00
